issue_number,fix_commit_sha,changed_file,parent_commit_sha,note
44306.0,addeba7f0514b715d31dcb01752f073a416eb15c,public/app/plugins/datasource/grafana-azure-monitor-datasource/components/MetricsQueryEditor/dataHooks.test.ts,ce0ef0ef5e90c3779617ee2c11635ecc1f69db40,SZZ-lite file-level parent mapping only
44306.0,addeba7f0514b715d31dcb01752f073a416eb15c,public/app/plugins/datasource/grafana-azure-monitor-datasource/components/MetricsQueryEditor/dataHooks.ts,ce0ef0ef5e90c3779617ee2c11635ecc1f69db40,SZZ-lite file-level parent mapping only
43967.0,732c2ebb37f3597bb5eb1e154e7c31a438fdd875,public/app/plugins/datasource/prometheus/result_transformer.ts,641e34e341c2a5c8481a8bad2317ed4e75e1c846,SZZ-lite file-level parent mapping only
44127.0,58b8d84085ca53dc1f28cac6d7f123576be8d308,public/app/core/specs/table_model.test.ts,24efb42f19065454900d381f5d47e057935248b9,SZZ-lite file-level parent mapping only
44127.0,58b8d84085ca53dc1f28cac6d7f123576be8d308,public/app/core/table_model.ts,24efb42f19065454900d381f5d47e057935248b9,SZZ-lite file-level parent mapping only
44126.0,7593fc0a209fa6399ef6bbc116baf62c0507970a,pkg/services/provisioning/dashboards/validator.go,55e1c53e36cd02f71b13e171a3be72b87e544c6d,SZZ-lite file-level parent mapping only
44126.0,7593fc0a209fa6399ef6bbc116baf62c0507970a,pkg/services/provisioning/dashboards/validator_test.go,55e1c53e36cd02f71b13e171a3be72b87e544c6d,SZZ-lite file-level parent mapping only
44466.0,6533eb92448c6e49d46f51fc3d852d76d715a871,packages/grafana-ui/src/components/TimeSeries/utils.ts,5148250366b7e1bcef5510d5f00183384159c191,SZZ-lite file-level parent mapping only
43975.0,b1b620565159e0e9a93a67595da7ca953429d4d3,public/app/plugins/panel/table/TablePanel.tsx,d584a27055b6bcf8419d092938e2268492bd037e,SZZ-lite file-level parent mapping only
44290.0,33a7269b4f5edbf4cad66724e7c69d3b551a4553,public/app/plugins/datasource/cloudwatch/components/SQLBuilderEditor/SQLBuilderSelectRow.test.tsx,fd14112dbd93c97509f73e623b1a8234f012cb1d,SZZ-lite file-level parent mapping only
44290.0,33a7269b4f5edbf4cad66724e7c69d3b551a4553,public/app/plugins/datasource/cloudwatch/components/SQLBuilderEditor/SQLBuilderSelectRow.tsx,fd14112dbd93c97509f73e623b1a8234f012cb1d,SZZ-lite file-level parent mapping only
