tag_name,release_name,published_at,target_commitish,html_url,draft,prerelease
v9.4.3,9.4.3 (2023-03-02),2023-03-03 08:08:22+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.3,False,False
v8.5.22,,2023-03-22 16:12:07+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.22,False,False
v9.2.15,,2023-03-22 16:26:53+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.15,False,False
v9.3.11,9.3.11 (2023-03-22),2023-03-22 16:36:32+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.11,False,False
v9.4.7,,2023-03-22 16:46:27+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.7,False,False
v9.2.17,,2023-04-26 08:52:48+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.17,False,False
v9.3.13,,2023-04-26 08:54:40+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.13,False,False
v9.4.9,9.4.9 (2023-04-24),2023-04-26 08:56:42+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.9,False,False
v9.5.0,9.5.0 (2023-04-04),2023-04-26 08:57:16+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.0,False,False
v9.5.1,,2023-04-26 09:11:20+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.1,False,False
v9.2.18,,2023-05-10 20:16:17+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.18,False,False
v9.3.14,,2023-05-10 20:47:38+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.14,False,False
v9.4.10,,2023-05-10 22:10:52+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.10,False,False
v9.5.2,9.5.2 (2023-05-03),2023-05-10 22:15:00+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.2,False,False
v8.5.26,,2023-06-06 07:39:08+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.26,False,False
v9.2.19,,2023-06-06 08:28:41+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.19,False,False
v9.3.15,,2023-06-06 09:05:56+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.15,False,False
v9.4.12,,2023-06-06 09:47:32+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.12,False,False
v9.5.3,,2023-06-06 10:15:04+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.5.3,False,False
v8.5.27,,2023-06-22 14:59:28+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.27,False,False
