repository_slug,repository_name,repository_full_name,period,metric_name,metric_value,metric_note
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-02,lead_time_days_median,4.245081018518518,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-03,lead_time_days_median,5.11287037037037,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-04,lead_time_days_median,7.06619212962963,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-05,lead_time_days_median,5.316278935185185,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-06,lead_time_days_median,6.341631944444444,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-07,lead_time_days_median,2.0550925925925925,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-08,lead_time_days_median,5.17787037037037,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-09,lead_time_days_median,6.196018518518518,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-10,lead_time_days_median,5.675509259259259,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-11,lead_time_days_median,5.204953703703704,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-01,lead_time_days_median,1.397326388888889,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-02,lead_time_days_median,0.8894675925925926,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-03,lead_time_days_median,5.111539351851852,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-04,lead_time_days_median,6.191597222222223,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-05,lead_time_days_median,9.47886574074074,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-07,lead_time_days_median,11.793599537037036,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-08,lead_time_days_median,8.363090277777777,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-09,lead_time_days_median,22.20945601851852,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-10,lead_time_days_median,41.978032407407404,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-11,lead_time_days_median,8.208072916666666,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-12,lead_time_days_median,25.419791666666665,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-06,lead_time_days_min,0.03087962962962963,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-09,lead_time_days_min,0.0015625,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-11,lead_time_days_min,0.001388888888888889,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-12,lead_time_days_min,0.12675925925925927,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-02,lead_time_days_min,0.002384259259259259,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-03,lead_time_days_min,0.028900462962962965,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-05,lead_time_days_min,0.0009722222222222222,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-06,lead_time_days_min,0.00045138888888888887,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-07,lead_time_days_min,0.00045138888888888887,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-08,lead_time_days_min,0.0004166666666666667,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-09,lead_time_days_min,0.0006134259259259259,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-10,lead_time_days_min,0.000462962962962963,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-11,lead_time_days_min,0.5835532407407408,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-12,lead_time_days_min,0.0006712962962962962,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-01,lead_time_days_min,0.00034722222222222224,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-02,lead_time_days_min,0.00037037037037037035,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-03,lead_time_days_min,0.000462962962962963,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-04,lead_time_days_min,0.19722222222222222,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-05,lead_time_days_min,0.0007754629629629629,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-06,lead_time_days_min,0.005543981481481481,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-07,lead_time_days_min,0.0007638888888888889,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-08,lead_time_days_min,0.007268518518518519,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-09,lead_time_days_min,0.019849537037037037,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-10,lead_time_days_min,0.0024421296296296296,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-11,lead_time_days_min,0.02357638888888889,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-01,lead_time_days_min,0.0004398148148148148,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-02,lead_time_days_min,0.0002199074074074074,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-03,lead_time_days_min,0.0003935185185185185,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-04,lead_time_days_min,0.02013888888888889,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-05,lead_time_days_min,0.23947916666666666,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-07,lead_time_days_min,3.2686342592592594,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-08,lead_time_days_min,8.36167824074074,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-09,lead_time_days_min,17.172013888888888,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-10,lead_time_days_min,33.82334490740741,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-11,lead_time_days_min,7.402002314814815,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-12,lead_time_days_min,15.947118055555556,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-06,lead_time_days_max,107.39729166666666,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-09,lead_time_days_max,93.7741550925926,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-11,lead_time_days_max,35.90122685185185,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-12,lead_time_days_max,20.921550925925924,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-02,lead_time_days_max,50.06728009259259,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-03,lead_time_days_max,7.113761574074074,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-05,lead_time_days_max,19.885208333333335,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-06,lead_time_days_max,6.051701388888889,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-07,lead_time_days_max,9.19355324074074,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-08,lead_time_days_max,15.797245370370371,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-09,lead_time_days_max,13.883541666666666,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-10,lead_time_days_max,13.79238425925926,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-11,lead_time_days_max,14.078125,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-12,lead_time_days_max,24.921099537037037,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-01,lead_time_days_max,11.545127314814815,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-02,lead_time_days_max,15.487881944444444,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-03,lead_time_days_max,14.178043981481482,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-04,lead_time_days_max,16.21318287037037,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-05,lead_time_days_max,12.961041666666667,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-06,lead_time_days_max,15.739375,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-07,lead_time_days_max,8.119664351851851,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-08,lead_time_days_max,13.806412037037036,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-09,lead_time_days_max,20.167546296296297,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-10,lead_time_days_max,13.915451388888888,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-11,lead_time_days_max,17.055752314814814,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-01,lead_time_days_max,8.923993055555556,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-02,lead_time_days_max,12.949594907407407,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-03,lead_time_days_max,14.147534722222222,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-04,lead_time_days_max,14.914953703703704,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-05,lead_time_days_max,15.439490740740741,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-07,lead_time_days_max,24.357199074074074,
