repository_slug,repository_name,repository_full_name,period,metric_name,metric_value,metric_note
grafana,Grafana,grafana/grafana,2024-03,recovery_time_days_mean,269.9828094198029,
grafana,Grafana,grafana/grafana,2024-04,recovery_time_days_mean,97.5369017094017,
grafana,Grafana,grafana/grafana,2024-05,recovery_time_days_mean,181.27497902199073,
grafana,Grafana,grafana/grafana,2024-06,recovery_time_days_mean,153.30291628405266,
grafana,Grafana,grafana/grafana,2024-07,recovery_time_days_mean,249.3461364026063,
grafana,Grafana,grafana/grafana,2024-08,recovery_time_days_mean,202.13792407407408,
grafana,Grafana,grafana/grafana,2024-09,recovery_time_days_mean,372.4296166087963,
grafana,Grafana,grafana/grafana,2024-10,recovery_time_days_mean,138.54211516203705,
grafana,Grafana,grafana/grafana,2024-11,recovery_time_days_mean,105.56400946969697,
grafana,Grafana,grafana/grafana,2024-12,recovery_time_days_mean,142.47570119598765,
grafana,Grafana,grafana/grafana,2025-01,recovery_time_days_mean,269.9256375144676,
grafana,Grafana,grafana/grafana,2025-02,recovery_time_days_mean,329.84510117102394,
grafana,Grafana,grafana/grafana,2025-03,recovery_time_days_mean,166.71220819304153,
grafana,Grafana,grafana/grafana,2025-04,recovery_time_days_mean,237.65861709770112,
grafana,Grafana,grafana/grafana,2025-05,recovery_time_days_mean,185.2526763554792,
grafana,Grafana,grafana/grafana,2025-06,recovery_time_days_mean,214.29980970860566,
grafana,Grafana,grafana/grafana,2025-07,recovery_time_days_mean,192.60724583333334,
grafana,Grafana,grafana/grafana,2025-08,recovery_time_days_mean,190.02438746438747,
grafana,Grafana,grafana/grafana,2025-09,recovery_time_days_mean,207.0330183867811,
grafana,Grafana,grafana/grafana,2025-10,recovery_time_days_mean,276.6891765702558,
grafana,Grafana,grafana/grafana,2025-11,recovery_time_days_mean,273.0747944046197,
grafana,Grafana,grafana/grafana,2025-12,recovery_time_days_mean,304.9898812585734,
grafana,Grafana,grafana/grafana,2022-01,recovery_time_days_median,11.331857638888888,
grafana,Grafana,grafana/grafana,2022-02,recovery_time_days_median,24.224155092592593,
grafana,Grafana,grafana/grafana,2022-03,recovery_time_days_median,15.720856481481482,
grafana,Grafana,grafana/grafana,2022-04,recovery_time_days_median,49.47400462962963,
grafana,Grafana,grafana/grafana,2022-05,recovery_time_days_median,12.925613425925926,
grafana,Grafana,grafana/grafana,2022-06,recovery_time_days_median,47.13876736111111,
grafana,Grafana,grafana/grafana,2022-07,recovery_time_days_median,26.918368055555554,
grafana,Grafana,grafana/grafana,2022-08,recovery_time_days_median,55.95778935185185,
grafana,Grafana,grafana/grafana,2022-09,recovery_time_days_median,13.197320601851853,
grafana,Grafana,grafana/grafana,2022-10,recovery_time_days_median,42.93547453703704,
grafana,Grafana,grafana/grafana,2022-11,recovery_time_days_median,47.66019675925926,
grafana,Grafana,grafana/grafana,2022-12,recovery_time_days_median,36.83648726851852,
grafana,Grafana,grafana/grafana,2023-01,recovery_time_days_median,59.31737268518519,
grafana,Grafana,grafana/grafana,2023-02,recovery_time_days_median,55.66746527777778,
grafana,Grafana,grafana/grafana,2023-03,recovery_time_days_median,35.06671296296296,
grafana,Grafana,grafana/grafana,2023-04,recovery_time_days_median,61.818194444444444,
grafana,Grafana,grafana/grafana,2023-05,recovery_time_days_median,27.275063657407408,
grafana,Grafana,grafana/grafana,2023-06,recovery_time_days_median,70.21928819444445,
grafana,Grafana,grafana/grafana,2023-07,recovery_time_days_median,27.95292824074074,
grafana,Grafana,grafana/grafana,2023-08,recovery_time_days_median,83.13655092592592,
grafana,Grafana,grafana/grafana,2023-09,recovery_time_days_median,27.048038194444445,
grafana,Grafana,grafana/grafana,2023-10,recovery_time_days_median,60.799363425925925,
grafana,Grafana,grafana/grafana,2023-11,recovery_time_days_median,26.26017361111111,
grafana,Grafana,grafana/grafana,2023-12,recovery_time_days_median,53.89374421296296,
grafana,Grafana,grafana/grafana,2024-01,recovery_time_days_median,70.13017939814816,
grafana,Grafana,grafana/grafana,2024-02,recovery_time_days_median,32.08833912037037,
grafana,Grafana,grafana/grafana,2024-03,recovery_time_days_median,119.09274884259258,
grafana,Grafana,grafana/grafana,2024-04,recovery_time_days_median,27.828663194444445,
grafana,Grafana,grafana/grafana,2024-05,recovery_time_days_median,54.18438657407407,
grafana,Grafana,grafana/grafana,2024-06,recovery_time_days_median,80.53859953703704,
grafana,Grafana,grafana/grafana,2024-07,recovery_time_days_median,73.3662037037037,
grafana,Grafana,grafana/grafana,2024-08,recovery_time_days_median,79.23771990740741,
grafana,Grafana,grafana/grafana,2024-09,recovery_time_days_median,419.6632002314815,
grafana,Grafana,grafana/grafana,2024-10,recovery_time_days_median,50.85421296296296,
grafana,Grafana,grafana/grafana,2024-11,recovery_time_days_median,16.398310185185185,
grafana,Grafana,grafana/grafana,2024-12,recovery_time_days_median,27.636307870370374,
grafana,Grafana,grafana/grafana,2025-01,recovery_time_days_median,111.1833912037037,
grafana,Grafana,grafana/grafana,2025-02,recovery_time_days_median,397.65996527777776,
grafana,Grafana,grafana/grafana,2025-03,recovery_time_days_median,68.7796412037037,
grafana,Grafana,grafana/grafana,2025-04,recovery_time_days_median,53.23859953703704,
grafana,Grafana,grafana/grafana,2025-05,recovery_time_days_median,82.00751157407407,
grafana,Grafana,grafana/grafana,2025-06,recovery_time_days_median,82.02116319444445,
grafana,Grafana,grafana/grafana,2025-07,recovery_time_days_median,96.77072916666667,
grafana,Grafana,grafana/grafana,2025-08,recovery_time_days_median,78.52835648148148,
grafana,Grafana,grafana/grafana,2025-09,recovery_time_days_median,104.44769675925926,
grafana,Grafana,grafana/grafana,2025-10,recovery_time_days_median,275.45444444444445,
grafana,Grafana,grafana/grafana,2025-11,recovery_time_days_median,229.01358796296296,
grafana,Grafana,grafana/grafana,2025-12,recovery_time_days_median,280.14173611111113,
grafana,Grafana,grafana/grafana,2022-01,adapted_bugfix_deployment_rate,1.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2022-02,adapted_bugfix_deployment_rate,0.8,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2022-03,adapted_bugfix_deployment_rate,0.75,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2022-04,adapted_bugfix_deployment_rate,1.0,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
grafana,Grafana,grafana/grafana,2022-05,adapted_bugfix_deployment_rate,0.75,This is an adapted proxy for change failure rate because full SZZ bug-inducing commit detection was not implemented.
